Date,CPUTemp,CPU Usage,RAM Usage,GPS,IMU,UV,Dallas Temperature
2024-07-18 11:11:55,{'Temperature': 72.15},{'Usage': 0.3},{'Usage': 16.6},Error,"{'Acceleration': [1.0031704956054688, -0.6823474731445313, -9.957484704589843], 'Gyro': [-0.005595712259541985, 0.0021316999083969466, 0.0018652374198473284], 'Magnetic': [-8.4, 30.0, -21.15]}","{'UVA': 4.71588134765625, 'UVB': 0.21917724609375, 'UVC': 0.119049072265625, 'Temperature': 29.400000000000006}",Error
2024-07-18 11:12:02,{'Temperature': 74.35},{'Usage': 14.6},{'Usage': 16.6},Error,"{'Acceleration': [0.9433154541015625, -0.7206546997070312, -9.993397729492187], 'Gyro': [-0.006928024702290077, 0.006928024702290077, 0.0002664624885496183], 'Magnetic': [-9.299999999999999, 28.799999999999997, -21.599999999999998]}","{'UVA': 4.752197265625, 'UVB': 0.248016357421875, 'UVC': 0.11651611328125, 'Temperature': 29.400000000000006}",Error
2024-07-18 11:12:09,{'Temperature': 72.7},{'Usage': 0.0},{'Usage': 16.6},Error,"{'Acceleration': [0.9864110839843749, -0.6631938598632812, -9.883264453125], 'Gyro': [-0.00959264958778626, 0.0061286372366412215, -0.004263399816793893], 'Magnetic': [-9.299999999999999, 29.25, -22.349999999999998]}","{'UVA': 4.77294921875, 'UVB': 0.271087646484375, 'UVC': 0.134246826171875, 'Temperature': 29.450000000000003}",Error
2024-07-18 11:12:16,{'Temperature': 74.35},{'Usage': 5.3},{'Usage': 16.6},Error,"{'Acceleration': [0.9528922607421875, -0.6607996582031249, -9.94072529296875], 'Gyro': [-0.008793262122137404, 0.008260337145038169, 0.0], 'Magnetic': [-8.85, 29.25, -21.9]}","{'UVA': 4.70550537109375, 'UVB': 0.1845703125, 'UVC': 0.0709228515625, 'Temperature': 29.349999999999994}",Error
2024-07-18 11:12:23,{'Temperature': 74.35},{'Usage': 0.2},{'Usage': 16.6},Error,"{'Acceleration': [0.948103857421875, -0.6631938598632812, -9.892841259765625], 'Gyro': [-0.008793262122137404, -0.0005329249770992366, -0.002398162396946565], 'Magnetic': [-7.949999999999999, 29.4, -21.0]}","{'UVA': 4.7625732421875, 'UVB': 0.21917724609375, 'UVC': 0.10638427734375, 'Temperature': 29.349999999999994}",Error
2024-07-18 11:12:29,{'Temperature': 74.9},{'Usage': 0.2},{'Usage': 16.6},Error,"{'Acceleration': [0.97683427734375, -0.6871358764648438, -9.991003527832031], 'Gyro': [-0.00159877493129771, 0.010658499541984735, 0.0], 'Magnetic': [-8.7, 29.4, -21.9]}","{'UVA': 4.73663330078125, 'UVB': 0.271087646484375, 'UVC': 0.12158203125, 'Temperature': 29.400000000000006}",Error
2024-07-18 11:12:36,{'Temperature': 74.9},{'Usage': 5.0},{'Usage': 16.6},Error,"{'Acceleration': [0.9361328491210937, -0.6607996582031249, -9.947907897949218], 'Gyro': [-0.004529862305343512, 0.00639509972519084, 0.0013323124427480919], 'Magnetic': [-9.0, 28.349999999999998, -21.0]}","{'UVA': 4.72625732421875, 'UVB': 0.2999267578125, 'UVC': 0.169708251953125, 'Temperature': 29.450000000000003}",Error
2024-07-18 11:12:43,{'Temperature': 74.35},{'Usage': 0.3},{'Usage': 16.6},Error,"{'Acceleration': [0.9457096557617187, -0.7015010864257812, -9.911994873046874], 'Gyro': [-0.011457887007633588, 0.005595712259541985, -0.00319754986259542], 'Magnetic': [-8.25, 26.25, -21.45]}","{'UVA': 4.75738525390625, 'UVB': 0.26531982421875, 'UVC': 0.129180908203125, 'Temperature': 29.400000000000006}",Error
2024-07-18 11:12:50,{'Temperature': 74.35},{'Usage': 15.2},{'Usage': 16.5},Error,"{'Acceleration': [0.9720458740234375, -0.6967126831054687, -9.962273107910155], 'Gyro': [-0.00985911207633588, 0.004263399816793893, -0.000799387465648855], 'Magnetic': [-8.1, 27.3, -22.349999999999998]}","{'UVA': 4.71588134765625, 'UVB': 0.17303466796875, 'UVC': 0.098785400390625, 'Temperature': 29.400000000000006}",Error
2024-07-18 11:12:57,{'Temperature': 74.35},{'Usage': 0.2},{'Usage': 16.5},Error,"{'Acceleration': [0.9911994873046874, -0.7158662963867187, -9.969455712890625], 'Gyro': [-0.007460949679389314, 0.00639509972519084, -0.005062787282442748], 'Magnetic': [-7.199999999999999, 29.4, -22.2]}","{'UVA': 4.70550537109375, 'UVB': 0.1845703125, 'UVC': 0.073455810546875, 'Temperature': 29.400000000000006}",Error
